batter,batter_whiff_avg,batter_hardhit_avg,batter_xbh_avg,batter_whiff_max
455117,0.15812528300954548,0.03711032107334748,0.01665437784935245,0.25
456781,0.1696537446601662,0.07927338600512417,0.00962433150593827,0.42857142857142855
457705,0.12830552477903437,0.05881599801501009,0.015887161384948,0.2857142857142857
457759,0.042898635952566384,0.047474873812497466,0.008206079634651064,0.10256410256410256
467793,0.09133746546796345,0.06923537514429642,0.01793694177809617,0.16184971098265896
493329,0.09374204227145404,0.035438417791358964,0.0025252525252525255,0.3333333333333333
500743,0.05619635096832151,0.06801262605356541,0.012116273058660304,0.15294117647058825
502054,0.09162192440115512,0.07415672372901792,0.031835924350322946,0.24
502671,0.06375910072184321,0.06725825192936563,0.016551155811747834,0.16153846153846155
514888,0.10020482403429895,0.0780403761263618,0.018805356032769994,0.16129032258064516
516782,0.14707137114518,0.07300529054249673,0.014694539024447872,0.25
518595,0.21701938593706044,0.05727724054326968,0.015410690855939732,0.5
518692,0.14775580499876817,0.06951561299321508,0.01958202582737614,0.2631578947368421
518792,0.12516992088201226,0.06331964689110073,0.01704514363885089,0.2777777777777778
518934,0.07348051413115914,0.0819781767853822,0.006853169853958684,0.2857142857142857
519317,0.20106354919000968,0.09027381250151126,0.03092159639067147,0.4444444444444444
521692,0.14876865484696658,0.10498697556160427,0.028974756240072605,0.19183673469387755
527038,0.07902262448822234,0.04424015835131591,0.0066603516439218136,0.16666666666666666
542303,0.1049922983604652,0.04950792791365202,0.012948273558655733,0.2
542932,0.1013170634743122,0.052283247216086494,0.008571428571428572,0.2727272727272727
542963,0.30333333333333334,0.03333333333333333,0.0,0.6666666666666666
543309,0.09007969079099713,0.08353495705480944,0.021283519046306362,0.23333333333333334
543510,0.13913762819941308,0.09933853713029914,0.006561859193438141,0.4
543592,0.09158249158249158,0.07650793650793651,0.007407407407407408,0.5
543760,0.10794167174313056,0.05001026557082964,0.016203152678142846,0.18518518518518517
543807,0.113211042038489,0.09054226659331512,0.015435592148358927,0.21875
543877,0.06365004260637779,0.08685972795008635,0.016890098319931737,0.2222222222222222
545121,0.15245368666421297,0.11225616488774383,0.03508771929824561,0.4
545341,0.11243596912884857,0.14098092818478167,0.020499496860264286,0.3333333333333333
545361,0.10787734516801738,0.060876278920787064,0.017949602815996932,0.23529411764705882
547180,0.15102097340408402,0.09401796832991223,0.028638764738801857,0.25
553869,0.1828198764748583,0.08028425393542694,0.01125733668007835,0.4090909090909091
553882,0.014492753623188406,0.014492753623188406,0.0,0.08695652173913043
553993,0.15055996278014394,0.0898433191501922,0.046746107912467166,0.2727272727272727
570482,0.15218788249345486,0.09592064934619947,0.042473875816333946,0.4166666666666667
