pitcher,balls,strikes,count_prior_0,count_prior_1,count_prior_2,count_prior_3,count_prior_4,count_prior_5,count_prior_6,count_prior_7,count_prior_8,count_prior_9,count_prior_10
434378,0,0,0.4744160787948687,0.0028249686900777616,0.15982034826539493,0.08679039687537589,0.0701236122805652,0.0,0.20602459509371748,0.0,0.0,0.0,0.0
434378,0,1,0.4453274572842539,0.014813817472488859,0.2632071537175753,0.07978312912749208,0.07276536633903971,0.0,0.12410307605915018,0.0,0.0,0.0,0.0
434378,0,2,0.3313341428646851,0.008431445013462859,0.4000791932844095,0.10518979990496806,0.05544585819122538,0.0,0.09951956074124914,0.0,0.0,0.0,0.0
434378,1,0,0.45499053680247914,0.006642956677273767,0.22430481895135293,0.13742226659179302,0.031563403423389695,0.0,0.14507601755371144,0.0,0.0,0.0,0.0
434378,1,1,0.39797166815160906,0.0005968189549700099,0.2360887896085294,0.0725135030288562,0.07582584822893976,0.0,0.21700337202709558,0.0,0.0,0.0,0.0
434378,1,2,0.4051990391214825,0.0065243324508938785,0.30958509004150736,0.06353972611693957,0.09647596169559107,0.0,0.11867585057358564,0.0,0.0,0.0,0.0
434378,2,0,0.5636474776938916,0.0015013726835964311,0.26578586135895677,0.07304178105696638,0.01887439945092656,0.0,0.07714910775566232,0.0,0.0,0.0,0.0
434378,2,1,0.5420404537930478,0.0011304453147079011,0.17659170737615568,0.09029028220759822,0.014211312527756469,0.0,0.17573579878073398,0.0,0.0,0.0,0.0
434378,2,2,0.44495443453061845,0.0006672767482650805,0.29868260504842525,0.07412968046976283,0.09172195531152291,0.0,0.08984404789140547,0.0,0.0,0.0,0.0
434378,3,0,0.6071957519055016,0.0025286276776360947,0.23711302965719033,0.044070368095943356,0.03178846223313947,0.0,0.07730376043058917,0.0,0.0,0.0,0.0
434378,3,1,0.5896752661256679,0.0018840755245131686,0.2354959828818281,0.05244458799305583,0.023685520879594114,0.0,0.09681456659534095,0.0,0.0,0.0,0.0
434378,3,2,0.4582280699192453,0.0010222111888316128,0.35117335241460884,0.060368872208998385,0.0128506549453117,0.0,0.11635683932300413,0.0,0.0,0.0,0.0
445276,0,0,0.0,0.03883947282634006,0.0474083733060122,0.0,0.019885437526195687,0.8938667163414521,0.0,0.0,0.0,0.0,0.0
445276,0,1,0.0,0.08715063298880803,0.05021099626934132,0.0,0.11045196012476302,0.7521864106170877,0.0,0.0,0.0,0.0,0.0
445276,0,2,0.0,0.22864088081790238,0.11503539000500465,0.0,0.05869736183599056,0.5976263673411024,0.0,0.0,0.0,0.0,0.0
445276,1,0,0.0,0.0783981951494642,0.021620605376950555,0.0,0.040139123895469066,0.8598420755781162,0.0,0.0,0.0,0.0,0.0
445276,1,1,0.0,0.09345540246555475,0.038705583756345176,0.0,0.07441986947063088,0.7934191443074692,0.0,0.0,0.0,0.0,0.0
445276,1,2,0.0,0.21694266455854208,0.0683198801697595,0.0,0.08471332279271032,0.6300241324789881,0.0,0.0,0.0,0.0,0.0
445276,2,0,0.0,0.07445008460236886,0.038917089678511,0.0,0.038917089678511,0.8477157360406091,0.0,0.0,0.0,0.0,0.0
445276,2,1,0.0,0.10430653348616342,0.06991976420501063,0.0,0.03766169968888161,0.7881120026199443,0.0,0.0,0.0,0.0,0.0
445276,2,2,0.0,0.14970004614674667,0.09395477618827872,0.0,0.05759113982464236,0.6987540378403323,0.0,0.0,0.0,0.0,0.0
445276,3,0,0.0,0.09710880600308983,0.050761421319796954,0.0,0.050761421319796954,0.8013683513573163,0.0,0.0,0.0,0.0,0.0
445276,3,1,0.0,0.08934010152284264,0.046700507614213196,0.0,0.046700507614213196,0.817258883248731,0.0,0.0,0.0,0.0,0.0
