batter,stand,p_throws,pitch_label,pitch_count,whiff_rate,foul_rate,in_play_rate,hard_hit_rate,extra_base_hit_rate,avg_delta_run_exp,player_name
455117,R,L,CH,27,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.0,0.0,-0.017037037037037035,"Maldonado, Martín"
455117,R,L,CU,26,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,-0.002576923076923078,"Maldonado, Martín"
455117,R,L,FC,7,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,-0.030714285714285715,"Maldonado, Martín"
455117,R,L,FF,79,0.12658227848101267,0.16455696202531644,0.16455696202531644,0.06329113924050633,0.02531645569620253,0.025772151898734177,"Maldonado, Martín"
455117,R,L,FS,10,0.2,0.0,0.2,0.1,0.1,0.0005000000000000004,"Maldonado, Martín"
455117,R,L,KC,1,1.0,0.0,0.0,0.0,0.0,-0.061,"Maldonado, Martín"
455117,R,L,OTHER,1,0.0,0.0,0.0,0.0,0.0,0.037,"Maldonado, Martín"
455117,R,L,SI,21,0.0,0.047619047619047616,0.38095238095238093,0.19047619047619047,0.0,0.015238095238095236,"Maldonado, Martín"
455117,R,L,SL,20,0.2,0.1,0.1,0.05,0.0,0.038299999999999994,"Maldonado, Martín"
455117,R,L,ST,5,0.2,0.2,0.2,0.0,0.0,-0.0858,"Maldonado, Martín"
455117,R,R,CH,11,0.45454545454545453,0.09090909090909091,0.0,0.09090909090909091,0.0,-0.06281818181818183,"Maldonado, Martín"
455117,R,R,CU,18,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.0,0.0,-0.05655555555555555,"Maldonado, Martín"
455117,R,R,FC,23,0.21739130434782608,0.13043478260869565,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.022086956521739132,"Maldonado, Martín"
455117,R,R,FF,104,0.19230769230769232,0.15384615384615385,0.16346153846153846,0.07692307692307693,0.019230769230769232,-0.03884615384615385,"Maldonado, Martín"
455117,R,R,FS,4,0.25,0.25,0.0,0.0,0.0,-0.039,"Maldonado, Martín"
455117,R,R,KC,11,0.18181818181818182,0.0,0.0,0.0,0.0,-0.008181818181818179,"Maldonado, Martín"
455117,R,R,OTHER,9,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.07988888888888888,"Maldonado, Martín"
455117,R,R,SI,72,0.05555555555555555,0.20833333333333334,0.25,0.06944444444444445,0.027777777777777776,-0.041527777777777775,"Maldonado, Martín"
455117,R,R,SL,61,0.21311475409836064,0.04918032786885246,0.19672131147540983,0.01639344262295082,0.01639344262295082,-0.013688524590163934,"Maldonado, Martín"
455117,R,R,ST,30,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.009733333333333333,"Maldonado, Martín"
455117,R,R,SV,1,0.0,0.0,0.0,0.0,0.0,0.039,"Maldonado, Martín"
456781,R,L,CH,74,0.17567567567567569,0.13513513513513514,0.1891891891891892,0.013513513513513514,0.0,-0.026121621621621627,"Solano, Donovan"
456781,R,L,CU,31,0.22580645161290322,0.0967741935483871,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.00970967741935484,"Solano, Donovan"
456781,R,L,FC,35,0.0,0.2,0.2,0.11428571428571428,0.02857142857142857,-0.00048571428571428697,"Solano, Donovan"
456781,R,L,FF,123,0.08130081300813008,0.23577235772357724,0.18699186991869918,0.08130081300813008,0.008130081300813009,-0.02895121951219512,"Solano, Donovan"
456781,R,L,FS,4,0.25,0.25,0.5,0.0,0.0,-0.0030000000000000027,"Solano, Donovan"
456781,R,L,KC,7,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,-0.05671428571428572,"Solano, Donovan"
456781,R,L,SI,57,0.05263157894736842,0.3157894736842105,0.17543859649122806,0.14035087719298245,0.0,-0.02394736842105263,"Solano, Donovan"
456781,R,L,SL,21,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.0,-0.053285714285714283,"Solano, Donovan"
456781,R,L,ST,22,0.22727272727272727,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.0,-0.0024090909090909145,"Solano, Donovan"
456781,R,L,SV,7,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,-0.05914285714285714,"Solano, Donovan"
456781,R,R,CH,14,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.0,0.0,-0.02321428571428571,"Solano, Donovan"
456781,R,R,CU,7,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.4167142857142857,"Solano, Donovan"
456781,R,R,FC,27,0.2222222222222222,0.18518518518518517,0.14814814814814814,0.07407407407407407,0.0,0.0372962962962963,"Solano, Donovan"
456781,R,R,FF,87,0.09195402298850575,0.22988505747126436,0.16091954022988506,0.11494252873563218,0.022988505747126436,-0.004804597701149426,"Solano, Donovan"
456781,R,R,KC,1,0.0,0.0,1.0,1.0,0.0,0.447,"Solano, Donovan"
456781,R,R,OTHER,4,0.0,0.0,0.5,0.0,0.0,-0.1625,"Solano, Donovan"
456781,R,R,SI,55,0.01818181818181818,0.21818181818181817,0.21818181818181817,0.07272727272727272,0.0,0.027436363636363634,"Solano, Donovan"
456781,R,R,SL,67,0.19402985074626866,0.16417910447761194,0.19402985074626866,0.014925373134328358,0.014925373134328358,-0.01982089552238806,"Solano, Donovan"
456781,R,R,ST,29,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.13793103448275862,0.034482758620689655,0.034551724137931034,"Solano, Donovan"
