player_id,player_name
434378,"Verlander, Justin"
445276,"Jansen, Kenley"
445926,"Chavez, Jesse"
448179,"Hill, Rich"
450203,"Morton, Charlie"
453286,"Scherzer, Max"
455117,"Maldonado, Martín"
455119,"Martin, Chris"
456781,"Solano, Donovan"
457705,"Mccutchen, Andrew"
457759,"Turner, Justin"
458677,"Wilson, Justin"
467793,"Santana, Carlos"
471911,"Carrasco, Carlos"
472610,"García, Luis"
476594,"Stock, Robert"
477132,"Kershaw, Clayton"
489119,"Miley, Wade"
489446,"Yates, Kirby"
493329,"Gurriel, Yuli"
493603,"Ottavino, Adam"
500743,"Rojas, Miguel"
500779,"Quintana, Jose"
502043,"Gibson, Kyle"
502054,"Pham, Tommy"
502085,"Robertson, David"
502671,"Goldschmidt, Paul"
506433,"Darvish, Yu"
506702,"León, Sandy"
514888,"Altuve, José"
516782,"Marte, Starling"
518397,"Alexander, Scott"
518489,"Brasier, Ryan"
518585,"Cruz, Fernando"
518595,"D'Arnaud, Travis"
518692,"Freeman, Freddie"
518792,"Heyward, Jason"
518876,"Kelly, Merrill"
518886,"Kimbrel, Craig"
518934,"Lemahieu, Dj"
519008,"McFarland, T.J."
519141,"Pomeranz, Drew"
519151,"Pressly, Ryan"
519242,"Sale, Chris"
519317,"Stanton, Giancarlo"
519326,"Strickland, Hunter"
521230,"Hendriks, Liam"
521692,"Pérez, Salvador"
527038,"Flores, Wilmer"
527048,"Pérez, Martín"
534910,"Hahn, Jesse"
541640,"Ramírez, Erasmo"
542303,"Ozuna, Marcell"
542881,"Anderson, Tyler"
542888,"Armstrong, Shawn"
542932,"Berti, Jon"
542963,"Brantly, Rob"
543056,"Coulombe, Danny"
543101,"DeSclafani, Anthony"
543135,"Eovaldi, Nathan"
543243,"Gray, Sonny"
543294,"Hendricks, Kyle"
543309,"Higashioka, Kyle"
543391,"Kelly, Casey"
543510,"Mccann, James"
543518,"McGough, Scott"
543592,"Nola, Austin"
543760,"Semien, Marcus"
543807,"Springer, George"
543859,"Tonkin, Michael"
543877,"Vázquez, Christian"
544150,"Suárez, Albert"
545121,"Vargas, Ildemaro"
545341,"Grichuk, Randal"
545361,"Trout, Mike"
547001,"Poteet, Cody"
547179,"Lorenzen, Michael"
547180,"Harper, Bryce"
547184,"Kelly, Michael"
547973,"Chapman, Aroldis"
548384,"Raley, Brooks"
552640,"Kittredge, Andrew"
553869,"Díaz, Elías"
553882,"Narváez, Omar"
553993,"Suárez, Eugenio"
554340,"García, Yimi"
554430,"Wheeler, Zack"
554431,"Matzek, Tyler"
570482,"Urshela, Gio"
570632,"Ureña, José"
571448,"Arenado, Nolan"
